Company,01-10-2025,02-10-2025,03-10-2025,04-10-2025,05-10-2025,06-10-2025,07-10-2025
Apple,230.06,223.78,230.27,223.36,216.43,224.8,233.52
Microsoft,422.19,426.07,434.69,436.04,448.38,436.42,440.16
Amazon,185.32,192.31,183.21,180.85,187.33,179.92,185.04
Google,160.94,155.29,149.28,148.96,156.2,160.5,163.1
Tesla,258.3,245.78,248.2,247.44,240.49,230.09,227.34
Meta,523.84,527.36,536.53,556.31,529.93,532.36,534.18
NVIDIA,121.37,119.16,116.42,111.31,109.48,105.94,102.02
Berkshire,437.32,425.76,443.27,450.51,452.38,429.87,416.12
JPMorgan,210.44,216.81,214.61,211.69,214.53,220.45,211.84
JohnsonJohnson,160.07,167.6,173.85,179.55,182.97,178.2,175.56
Visa,291.35,283.78,292.8,289.37,291.79,288.16,287.37
ProctorGamble,161.61,164.87,164.15,160.3,162.39,165.19,157.9
Mastercard,471.94,468.39,447.82,466.46,462.79,461.52,465.71
UnitedHealth,507.41,507.56,488.58,501.42,480.61,467.79,479.71
HomeDepot,390.73,390.2,379.17,374.96,377.11,379.42,382.55
BankOfAmerica,42.45,43.06,41.74,41.75,41.82,40.7,42.07
Pfizer,24.79,24.96,25.4,25.83,24.76,24.99,25.42
Chevron,150.08,149.97,146.87,145.85,150.5,157.06,161.78
CocaCola,62.63,62.92,62.25,59.14,56.99,57.23,56.29
PepsiCo,161.09,161.18,160.59,161.19,161.52,160.92,164.47
Adobe,526.59,538.19,554.94,555.18,582.13,598.72,578.94
Netflix,744.29,763.7,800.53,777.38,775.22,801.35,809.94
Intel,22.31,21.5,21.79,21.66,21.78,21.41,21.89
Cisco,56.97,57.86,59.71,62.14,62.41,61.88,60.56
Comcast,40.61,40.58,40.77,42.33,43.43,43.52,44.24
Disney,93.72,98.39,97.26,94.78,94.7,92.91,94.67
ATT,22.23,21.33,22,21.69,21.77,22.36,22.97
Verizon,42.37,44.22,43.15,41.85,40.94,41.37,43.12
Salesforce,299.94,296.26,295.46,291.54,279.6,278.55,270.09
Oracle,166.36,169.59,162.05,166,165.46,158.63,155.33
McDonalds,288.23,285.18,285.64,272.29,267.81,259.59,252.87
Nike,81.09,81.33,80.41,80.29,77.99,78.22,78.08
Walmart,83,79.24,80.59,83.88,86.54,85.65,83.88
IBM,212.77,213.38,203.35,196.72,202.09,209.65,213.31
Boeing,151.86,159.34,159.82,155.14,153.15,146.17,153.44
GoldmanSachs,468.08,487.34,472.19,462.83,447.07,436.88,427
MorganStanley,119.75,123.65,119.16,119.96,121.4,121.28,126.07
AmericanExpress,264.87,272.2,284.05,284.46,296.39,284.66,293.62
Caterpillar,370.02,380.47,370.23,362.01,353.5,367.67,365.52
GeneralElectric,170.19,162.5,154.85,156.22,151.71,148.14,145.7
Ford,11.02,11.06,11.36,11.17,11.44,11.82,11.32
GeneralMotors,46.57,47.25,45.86,44.74,46.67,48.52,46.27
Starbucks,97.81,100.77,104.72,103.63,98.6,97.05,98.11
AMD,129.09,135.48,130.99,130.94,127.9,128.14,128.1
PayPal,78.3,80.58,77.54,74.16,75.77,72.93,71.41
Uber,69.67,68.11,67.56,64.74,62.46,65.58,63.54
Twitter,47.1,46.03,48.07,49.19,49.25,48.69,49.38
Snap,10.85,10.96,11.33,11.81,12.32,12.18,11.89
Shopify,92.74,90.45,89.3,86.52,83.05,83.85,81.65
Square,71.45,72.1,73.95,74.58,74.94,73.92,70.43
Costco,891.71,881.91,904.2,859.81,870.21,835.38,804.32
Broadcom,176.9,170.31,163.63,165.44,168.63,173.51,174.91
Qualcomm,167.36,165.44,166.26,161.36,154.6,160.33,157.48
TXN,204.31,195.33,193.83,192.25,193.91,203.38,208.13
TMobile,203.88,195.96,196.52,189.78,188.04,192.11,200.51
ExxonMobil,110.18,112.49,113.02,115.53,111.96,108.16,104.98
AbbVie,188.36,194.09,202.13,203.4,204.39,199.08,190.23
Merck,95.33,99.26,99.86,98.9,99.7,101.4,103.71
Abbott,117.58,111.76,115.09,115.6,113.68,110.16,105.12
Thermo,538.6,542.95,542.65,525.37,536.24,546.98,561.22
Danaher,253.14,260.31,270.07,258.69,252.74,245.23,236.74
Lilly,786.99,774,809.63,780.75,798.11,760.89,776.89
Bristol,54.01,55.62,55.72,56.15,54.28,54.76,53.57
Amgen,272.56,282.24,268.73,267.84,262.68,262.8,258.28
CVS,59.31,59.77,58.45,59.63,58.08,55.76,56.51
Cigna,329.77,322.39,309.51,295.42,302.54,308.2,304.2
WellsFargo,62.65,61.17,59.15,57.52,57.15,56.04,53.87
Citigroup,65.37,62.86,64.3,66.6,65,66.62,67.99
USBank,50.26,48.05,48.7,50.78,48.51,50.87,49.19
Schwab,74.35,71.31,72.48,72.65,73.57,70.75,72.21
BlackRock,956.41,972.66,999.76,1000.12,1047.76,1040.34,1057.26
Travelers,217.91,214.07,216.12,207.61,214.59,209.08,211.73
Progressive,247.13,245.42,234.12,237.28,242.2,237.29,234.18
MetLife,74.64,75.54,76,75.27,72.66,70.47,67.09
Allstate,189,189.37,195.29,185.64,184.86,192.22,185.84
Target,149.25,143.52,143.56,150.28,145.43,149.11,154.09
Lowes,252.01,243.11,253.15,258.39,261.73,260.47,269.09
DollarGeneral,80.27,83.91,82.1,81.34,80.71,84.63,80.96
FedEx,275.01,270.82,269.84,277.12,286.95,283,273.68
UPS,126.43,122.92,121.65,123.18,118.38,123.26,118.85
